=== AbbadonRAT ===
Ground-truth 함수 수 (malware.json): 7

 Diff | Precision |  Recall |      F1 |  RemovedCnt | Excluded Functions
----------------------------------------------------------------------------------------------------------------------------------------------------------------
    0 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
    1 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
    2 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
    3 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
    4 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
    5 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
    6 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
    7 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
    8 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
    9 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
   10 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
   11 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
   12 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
   13 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
   14 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
   15 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
   16 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
   17 |   0.02740 | 0.85714 | 0.05310 |           0 | (없음)
   18 |   0.02752 | 0.85714 | 0.05333 |           1 | get_InstalledApps
   19 |   0.02752 | 0.85714 | 0.05333 |           1 | get_InstalledApps
   20 |   0.02752 | 0.85714 | 0.05333 |           1 | get_InstalledApps
   21 |   0.02752 | 0.85714 | 0.05333 |           1 | get_InstalledApps
   22 |   0.02765 | 0.85714 | 0.05357 |           2 | get_InstalledApps, get_RememberPassword
   23 |   0.02765 | 0.85714 | 0.05357 |           2 | get_InstalledApps, get_RememberPassword
   24 |   0.02778 | 0.85714 | 0.05381 |           3 | get_InstalledApps, get_RememberPassword, set_Address
   25 |   0.02778 | 0.85714 | 0.05381 |           3 | get_InstalledApps, get_RememberPassword, set_Address
   26 |   0.02778 | 0.85714 | 0.05381 |           3 | get_InstalledApps, get_RememberPassword, set_Address
   27 |   0.02778 | 0.85714 | 0.05381 |           3 | get_InstalledApps, get_RememberPassword, set_Address
   28 |   0.02778 | 0.85714 | 0.05381 |           4 | get_Data, get_InstalledApps, get_RememberPassword, set_Address
   29 |   0.02778 | 0.85714 | 0.05381 |           4 | get_Data, get_InstalledApps, get_RememberPassword, set_Address
   30 |   0.02778 | 0.85714 | 0.05381 |           4 | get_Data, get_InstalledApps, get_RememberPassword, set_Address
   31 |   0.02791 | 0.85714 | 0.05405 |           6 | Send, get_Data, get_InstalledApps, get_RememberPassword, set_Address, set_BtcAddress
   32 |   0.02804 | 0.85714 | 0.05430 |           7 | Send, get_Address, get_Data, get_InstalledApps, get_RememberPassword, set_Address, set_BtcAddress
   33 |   0.02817 | 0.85714 | 0.05455 |           8 | Send, get_Address, get_Data, get_InstalledApps, get_LaterTasks, get_RememberPassword, set_Address, set_BtcAddress
   34 |   0.02830 | 0.85714 | 0.05479 |           9 | Send, SteamFromCookies, get_Address, get_Data, get_InstalledApps, get_LaterTasks, get_RememberPassword, set_Address, set_BtcAddress
   35 |   0.02381 | 0.71429 | 0.04608 |          11 | CheckToken, Send, SteamFromCookies, get_Address, get_Data, get_InstalledApps, get_LaterTasks, get_RememberPassword, set_Address, set_BtcAddress, set_HttpClient
   36 |   0.02427 | 0.71429 | 0.04695 |          15 | CheckToken, GetDeviceTree, Send, SteamFromCookies, get_Address, get_Data, get_InstalledApps, get_LaterTasks, get_RememberPassword, set_Address, set_BtcAddress, set_Encrypter, set_HWID, set_HttpClient, set_MasterKey
   37 |   0.02475 | 0.71429 | 0.04785 |          19 | CheckToken, Checks, GetDeviceTree, HeavyTasks, QueryDB, Send, SteamFromCookies, get_Address, get_Data, get_InstalledApps, get_LaterTasks, get_RememberPassword, set_Address, set_BtcAddress, set_Encrypter, set_HWID, set_HttpClient, set_Legacy, set_MasterKey
   38 |   0.02041 | 0.57143 | 0.03941 |          26 | <BasicTasks>b__35_0, CheckToken, Checks, GetDeviceTree, HeavyTasks, ParseLog, QueryDB, RunLoop, Send, SteamFromCookies, get_Address, get_Data, get_DiscordClient, get_HWID, get_InstalledApps, get_LaterTasks, get_RememberPassword, set_Address, set_BtcAddress, set_Data, set_Dump, set_Encrypter, set_HWID, set_HttpClient, set_Legacy, set_MasterKey
   39 |   0.02073 | 0.57143 | 0.04000 |          29 | <BasicTasks>b__35_0, CheckToken, Checks, Encrypt, GetDeviceTree, HeavyTasks, ParseLog, QueryDB, RunLoop, Send, SteamFromCookies, get_Address, get_Data, get_DiscordClient, get_HWID, get_InstalledApps, get_LaterTasks, get_RememberPassword, set_Address, set_Amount, set_BtcAddress, set_Data, set_Dump, set_Encrypter, set_HWID, set_HttpClient, set_Legacy, set_MasterKey, set_OsCryptKey
   40 |   0.01622 | 0.42857 | 0.03125 |          37 | <BasicTasks>b__35_0, CheckToken, Checks, Encrypt, GetCreditCards, GetDeviceTree, HeavyTasks, ParseLog, QueryDB, RunLoop, Send, SetLastRead, SteamFromCookies, get_Address, get_CA_KEYS, get_Cleanup, get_Data, get_DiscordClient, get_Dump, get_HWID, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_LaterTasks, get_RememberPassword, set_Address, set_Amount, set_BtcAddress, set_Data, set_DiscordClient, set_Dump, set_Encrypter, set_FirstLoop, set_HWID, set_HttpClient, set_Legacy, set_MasterKey, set_OsCryptKey
   41 |   0.01685 | 0.42857 | 0.03243 |          44 | <BasicTasks>b__35_0, BasicTasks, CheckToken, Checks, Encrypt, GetCreditCards, GetDeviceTree, HeavyTasks, ParseLog, QueryDB, RunLoop, Send, SetLastRead, SteamFromCookies, get_Address, get_CA_KEYS, get_Cleanup, get_Data, get_DiscordClient, get_Dump, get_Encrypter, get_HWID, get_HttpClient, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_LaterTasks, get_Legacy, get_OsCryptKey, get_RememberPassword, get_Tasks, get_Variant, set_Address, set_Amount, set_BtcAddress, set_Data, set_DiscordClient, set_Dump, set_Encrypter, set_FirstLoop, set_HWID, set_HttpClient, set_Legacy, set_MasterKey, set_OsCryptKey
   42 |   0.01724 | 0.42857 | 0.03315 |          48 | <BasicTasks>b__35_0, <GetAuths>b__1_0, BasicTasks, CheckToken, Checks, Encrypt, GetCreditCards, GetDeviceTree, GetPublicInfo, HeavyTasks, IncludedExtension, ParseLog, QueryDB, RunLoop, Send, SetLastRead, SteamFromCookies, get_Address, get_CA_KEYS, get_Cleanup, get_Data, get_DiscordClient, get_Dump, get_Encrypter, get_HWID, get_HttpClient, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_LaterTasks, get_Legacy, get_OsCryptKey, get_RememberPassword, get_Tasks, get_Variant, set_Address, set_Amount, set_BtcAddress, set_CA_KEYS, set_Data, set_DiscordClient, set_Dump, set_Encrypter, set_FirstLoop, set_HWID, set_HttpClient, set_Legacy, set_MasterKey, set_OsCryptKey
   43 |   0.01212 | 0.28571 | 0.02326 |          57 | <BasicTasks>b__35_0, <BasicTasks>b__35_1, <GetAuths>b__1_0, BasicTasks, CheckToken, Checks, Encrypt, GetCookies, GetCreditCards, GetDeviceTree, GetPublicInfo, HeavyTasks, IncludedExtension, ParseLog, QueryDB, RunLoop, Send, SetLastRead, SteamFromCookies, TransformDirectory, get_Address, get_CA_KEYS, get_Cleanup, get_DISCORD_AUTH_TOKEN, get_DISCORD_WRITE_ID, get_Data, get_DiscordClient, get_Dump, get_Encrypter, get_HWID, get_HttpClient, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_LaterTasks, get_Legacy, get_OsCryptKey, get_RememberPassword, get_Tasks, get_UPLOAD_URL, get_Variant, set_Address, set_Amount, set_BtcAddress, set_CA_KEYS, set_Data, set_DiscordClient, set_Dump, set_EncryptedDump, set_Encrypter, set_FirstLoop, set_HWID, set_HttpClient, set_LaterTasks, set_Legacy, set_MasterKey, set_OsCryptKey, set_Variant
   44 |   0.01266 | 0.28571 | 0.02424 |          65 | <BasicTasks>b__35_0, <BasicTasks>b__35_1, <BasicTasks>b__35_2, <GetAuths>b__1_0, <SteamFromCookies>b__37_0, BasicTasks, CheckToken, Checks, CreateTempFile, Encrypt, FilterCookie, GetCookies, GetCreditCards, GetDeviceTree, GetPublicInfo, HeavyTasks, IncludedExtension, ParseLog, QueryDB, RunLoop, Send, SetLastRead, SteamFromCookies, TransformDirectory, TransformFile, get_Address, get_CA_KEYS, get_Cleanup, get_DISCORD_AUTH_TOKEN, get_DISCORD_WRITE_ID, get_Data, get_DiscordClient, get_Dump, get_Encrypter, get_HWID, get_HttpClient, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_LaterTasks, get_Legacy, get_N, get_OsCryptKey, get_RememberPassword, get_Tasks, get_UPLOAD_URL, get_Variant, set_Address, set_Amount, set_BtcAddress, set_CA_KEYS, set_Data, set_DiscordClient, set_Dump, set_EncryptedDump, set_Encrypter, set_FirstLoop, set_HWID, set_HttpClient, set_Language, set_LaterTasks, set_Legacy, set_MasterKey, set_OsCryptKey, set_Tasks, set_Variant
   45 |   0.01299 | 0.28571 | 0.02484 |          69 | <BasicTasks>b__35_0, <BasicTasks>b__35_1, <BasicTasks>b__35_2, <GetAuths>b__1_0, <SteamFromCookies>b__37_0, BasicTasks, CheckToken, Checks, CreateTempFile, Encrypt, FilterCookie, GetCookies, GetCreditCards, GetDeviceTree, GetLastRead, GetPublicInfo, HeavyTasks, IncludedExtension, ParseLog, QueryDB, RunLoop, Send, SetLastRead, SteamFromCookies, TransformDirectory, TransformFile, get_Address, get_CA_KEYS, get_Cleanup, get_DISCORD_AUTH_TOKEN, get_DISCORD_WRITE_ID, get_Data, get_DiscordClient, get_Dump, get_Encrypter, get_FileData, get_FirstLoop, get_HWID, get_HttpClient, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_LaterTasks, get_Legacy, get_N, get_OsCryptKey, get_RememberPassword, get_Tasks, get_UPLOAD_URL, get_Variant, set_Address, set_Amount, set_BtcAddress, set_CA_KEYS, set_Data, set_DiscordClient, set_Dump, set_EncryptedDump, set_Encrypter, set_FilePaths, set_FirstLoop, set_HWID, set_HttpClient, set_Language, set_LaterTasks, set_Legacy, set_MasterKey, set_OsCryptKey, set_Tasks, set_Variant
   46 |   0.01342 | 0.28571 | 0.02564 |          74 | <BasicTasks>b__35_0, <BasicTasks>b__35_1, <BasicTasks>b__35_2, <GetAuths>b__1_0, <SteamFromCookies>b__37_0, BasicTasks, CheckToken, Checks, CreateTempFile, Encrypt, FilterCookie, GetCookies, GetCreditCards, GetDeviceTree, GetLastRead, GetOSString, GetPublicInfo, HeavyTasks, IncludedExtension, LegacyDecrypt, ParseLog, QueryDB, RunLoop, Send, SetLastRead, SteamFromCookies, TransformDirectory, TransformFile, get_Address, get_CA_KEYS, get_Cleanup, get_DISCORD_AUTH_TOKEN, get_DISCORD_WRITE_ID, get_Data, get_DiscordClient, get_Dump, get_EXCLUDED_FOLDERS, get_Encrypter, get_FileData, get_FirstLoop, get_GPU, get_HWID, get_HttpClient, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_LaterTasks, get_Legacy, get_N, get_OsCryptKey, get_RememberPassword, get_Tasks, get_UPLOAD_URL, get_Variant, set_Address, set_Amount, set_BtcAddress, set_CA_KEYS, set_Data, set_DiscordClient, set_Dump, set_EncryptedDump, set_Encrypter, set_FilePaths, set_FirstLoop, set_HWID, set_HttpClient, set_Language, set_LaterTasks, set_Legacy, set_MasterKey, set_OsCryptKey, set_RememberPassword, set_Tasks, set_Variant
   47 |   0.01418 | 0.28571 | 0.02703 |          82 | <BasicTasks>b__35_0, <BasicTasks>b__35_1, <BasicTasks>b__35_2, <Checks>b__38_0, <Checks>b__38_1, <GetAuths>b__1_0, <Run>b__40_2, <SteamFromCookies>b__37_0, BasicTasks, CheckToken, Checks, CreateTempFile, Encrypt, FilterCookie, GetCookies, GetCreditCards, GetDeviceTree, GetDirectory, GetLastRead, GetOSString, GetPublicInfo, HeavyTasks, IncludedExtension, LegacyDecrypt, ParseLog, QueryDB, RunLoop, Send, SetLastRead, SteamFromCookies, TransformDirectory, TransformFile, get_Address, get_CA_KEYS, get_Cleanup, get_DISCORD_AUTH_TOKEN, get_DISCORD_READ_ID, get_DISCORD_WRITE_ID, get_Data, get_DiscordClient, get_Dump, get_EXCLUDED_FOLDERS, get_Encrypter, get_FileCount, get_FileData, get_FirstLoop, get_GPU, get_HWID, get_HttpClient, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_LaterTasks, get_Legacy, get_ListeningThread, get_N, get_OsCryptKey, get_RememberPassword, get_Tasks, get_UPLOAD_URL, get_Variant, set_Address, set_Amount, set_BtcAddress, set_CA_KEYS, set_Data, set_DiscordClient, set_Dump, set_EncryptedDump, set_Encrypter, set_FilePaths, set_FirstLoop, set_HWID, set_HttpClient, set_Language, set_LaterTasks, set_Legacy, set_MasterKey, set_OsCryptKey, set_PublicIP, set_RememberPassword, set_Tasks, set_Variant
   48 |   0.01449 | 0.28571 | 0.02759 |          85 | <BasicTasks>b__35_0, <BasicTasks>b__35_1, <BasicTasks>b__35_2, <Checks>b__38_0, <Checks>b__38_1, <GetAuths>b__1_0, <Run>b__40_0, <Run>b__40_2, <Search>b__0, <SteamFromCookies>b__37_0, BasicTasks, CheckToken, Checks, CreateTempFile, Encrypt, FilterCookie, GetCookies, GetCreditCards, GetDeviceTree, GetDirectory, GetLastRead, GetOSString, GetPublicInfo, HeavyTasks, IncludedExtension, LegacyDecrypt, ParseLog, QueryDB, RunLoop, Send, SetLastRead, SteamFromCookies, Stop, TransformDirectory, TransformFile, get_Address, get_CA_KEYS, get_Cleanup, get_DISCORD_AUTH_TOKEN, get_DISCORD_READ_ID, get_DISCORD_WRITE_ID, get_Data, get_DiscordClient, get_Dump, get_EXCLUDED_FOLDERS, get_Encrypter, get_FileCount, get_FileData, get_FirstLoop, get_GPU, get_HWID, get_HttpClient, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_LaterTasks, get_Legacy, get_ListeningThread, get_N, get_OsCryptKey, get_RememberPassword, get_Tasks, get_UPLOAD_URL, get_Variant, set_Address, set_Amount, set_BtcAddress, set_CA_KEYS, set_Data, set_DiscordClient, set_Dump, set_EncryptedDump, set_Encrypter, set_FilePaths, set_FirstLoop, set_HWID, set_HttpClient, set_Language, set_LaterTasks, set_Legacy, set_MasterKey, set_OsCryptKey, set_PublicIP, set_RememberPassword, set_Tasks, set_Variant
   49 |   0.00752 | 0.14286 | 0.01429 |          90 | <BasicTasks>b__35_0, <BasicTasks>b__35_1, <BasicTasks>b__35_2, <Checks>b__38_0, <Checks>b__38_1, <Checks>b__38_2, <GetAuths>b__1_0, <HeavyTasks>b__36_0, <Run>b__40_0, <Run>b__40_2, <Search>b__0, <SteamFromCookies>b__37_0, BasicTasks, CheckToken, Checks, CreateTempFile, Encrypt, FilterCookie, GetCookies, GetCreditCards, GetDeviceTree, GetDirectory, GetLastRead, GetLoginFromCookies, GetOSString, GetPublicInfo, HeavyTasks, IncludedExtension, LegacyDecrypt, ParseLog, QueryDB, Run, RunLoop, Send, SetLastRead, SteamFromCookies, Stop, TransformDirectory, TransformFile, get_Address, get_CA_KEYS, get_CHROMIUM_VARIANTS, get_Cleanup, get_DISCORD_AUTH_TOKEN, get_DISCORD_READ_ID, get_DISCORD_WRITE_ID, get_Data, get_DiscordClient, get_Dump, get_EXCLUDED_FOLDERS, get_Encrypter, get_FileCount, get_FileData, get_FirstLoop, get_GPU, get_HWID, get_HttpClient, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_LaterTasks, get_Legacy, get_ListeningThread, get_N, get_OsCryptKey, get_RememberPassword, get_Tasks, get_UPLOAD_URL, get_Variant, set_Address, set_Amount, set_BtcAddress, set_CA_KEYS, set_Data, set_DiscordClient, set_Dump, set_EncryptedDump, set_Encrypter, set_FilePaths, set_FirstLoop, set_HWID, set_HttpClient, set_Language, set_LaterTasks, set_Legacy, set_MasterKey, set_OsCryptKey, set_PublicIP, set_RememberPassword, set_Tasks, set_Variant
   50 |   0.00794 | 0.14286 | 0.01504 |          98 | <BasicTasks>b__35_0, <BasicTasks>b__35_1, <BasicTasks>b__35_2, <Checks>b__38_0, <Checks>b__38_1, <Checks>b__38_2, <Checks>b__38_3, <GetAuths>b__1_0, <HeavyTasks>b__36_0, <Run>b__40_0, <Run>b__40_2, <Search>b__0, <SteamFromCookies>b__37_0, BasicTasks, CheckToken, Checks, CreateTempFile, Encrypt, FilterCookie, GetCookies, GetCreditCards, GetDeviceTree, GetDirectory, GetLastRead, GetLoginFromCookies, GetOSString, GetPublicInfo, HeavyTasks, IncludedExtension, LegacyDecrypt, Main, ParseLog, QueryDB, Run, RunLoop, Send, SetLastRead, SteamFromCookies, Stop, TransformDirectory, TransformFile, get_Address, get_CA_KEYS, get_CHROMIUM_VARIANTS, get_CPU, get_Cleanup, get_DISCORD_AUTH_TOKEN, get_DISCORD_READ_ID, get_DISCORD_VARIANTS, get_DISCORD_WRITE_ID, get_Data, get_DiscordClient, get_Dump, get_EXCLUDED_FOLDERS, get_Encrypter, get_FileCount, get_FileData, get_FirstLoop, get_GPU, get_HWID, get_HttpClient, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_LaterTasks, get_Legacy, get_ListeningThread, get_N, get_OsCryptKey, get_PublicIP, get_RememberPassword, get_Tasks, get_UPLOAD_URL, get_Variant, set_Address, set_Amount, set_Balance, set_BtcAddress, set_CA_KEYS, set_Cleanup, set_Data, set_DiscordClient, set_Dump, set_EncryptedDump, set_Encrypter, set_FileData, set_FilePaths, set_FirstLoop, set_HWID, set_HttpClient, set_Language, set_LaterTasks, set_Legacy, set_MasterKey, set_OsCryptKey, set_PublicIP, set_RememberPassword, set_Tasks, set_Variant
