=== AbbadonRAT ===
Ground-truth 함수 수 (malware.json): 7

 Diff | Precision |  Recall |      F1 |  RemovedCnt | Excluded Functions
   87 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   88 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   89 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   90 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   91 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   92 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   93 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   94 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   95 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   96 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   97 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   98 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
   99 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
  100 |   0.02899 | 0.85714 | 0.05607 |          18 | Dump, GetHWID, entry, get_Address, get_Amount, get_Balance, get_BtcAddress, get_Cookie, get_Data, get_InstalledApps, get_MasterKey, get_RememberPassword, set_Address, set_Archive, set_BtcAddress, set_ComputerName, set_Data, set_EncryptedDump
  101 |   0.00000 | 0.00000 | 0.00000 |         254 | .cctor, .ctor, <BasicTasks>b__35_0, <BasicTasks>b__35_1, <BasicTasks>b__35_2, <Checks>b__38_0, <Checks>b__38_1, <Checks>b__38_2, <Checks>b__38_3, <Checks>b__38_4, <GetAuths>b__1_0, <GetLoginFromCookies>b__1_0, <GetLoginFromCookies>b__1_1, <GetLoginFromCookies>b__1_2, <GetLoginFromCookies>b__1_3, <HeavyTasks>b__36_0, <OnDiscordCommand>b__0_0, <Run>b__40_0, <Run>b__40_1, <Run>b__40_2, <Search>b__0, <SteamFromCookies>b__37_0, <TransformDirectory>b__0, AddFile, AddFiles, Archive, BasicTasks, CheckToken, Checks, Clean, CmdOutput, Copy, CreateTempFile, Decrypt, Dump, Encrypt, FilterCookie, GetAuths, GetCPUString, GetCookies, GetCreditCards, GetDeviceTree, GetDirectory, GetGPUString, GetHWID, GetLastRead, GetLoginFromCookies, GetLogins, GetOSString, GetPublicInfo, GetRamAmount, GetSessionFiles, GetSytemInfo, HandleCommand, HeavyTasks, IncludedExtension, IsExcluded, LegacyDecrypt, Main, OnDiscordCommand, OsCryptDecrypt, ParseLog, QueryDB, RemoveFile, Run, RunLoop, Save, Search, Send, SetLastRead, Shell, StartListening, SteamFromCookies, Stop, StopListening, TransformDirectory, TransformFile, Upload, entry, get_Address, get_Amount, get_Archive, get_Arguments, get_Balance, get_BtcAddress, get_CA_KEYS, get_CHROMIUM_VARIANTS, get_COOKIE_FILTER, get_CPU, get_Cleanup, get_CommandCode, get_Commands, get_ComputerName, get_Cookie, get_Cookies, get_Country, get_CreationUTC, get_CreditCards, get_DATA_URL, get_DISCORD_AUTH_TOKEN, get_DISCORD_READ_ID, get_DISCORD_VARIANTS, get_DISCORD_WRITE_ID, get_Data, get_Directories, get_Discord, get_DiscordClient, get_Dump, get_EXCLUDED_FOLDERS, get_Email, get_EncryptedDump, get_EncryptedPassword, get_EncryptedValue, get_Encrypter, get_ExpiresUTC, get_FileCount, get_FileData, get_FilePaths, get_Files, get_FirstLoop, get_GPU, get_HWID, get_HWIDs, get_HostKey, get_HttpClient, get_ID, get_IMPORTANT_EXTENSIONS, get_InstalledApps, get_InstalledLanguage, get_IpAddress, get_IsEmpty, get_IsListening, get_Language, get_LaterTasks, get_Legacy, get_ListeningThread, get_Logins, get_MFA, get_MasterKey, get_Month, get_N, get_Name, get_NitroType, get_OS, get_OsCryptKey, get_Path, get_Phone, get_Port, get_Process, get_PublicIP, get_RAM, get_RememberPassword, get_Retries, get_Secure, get_SizeMB, get_Steam, get_StreamWriter, get_SystemInfo, get_Tasks, get_Token, get_UPLOAD_URL, get_URL, get_Username, get_Value, get_Variant, get_Year, set_Address, set_Amount, set_Archive, set_Arguments, set_Balance, set_BtcAddress, set_CA_KEYS, set_CPU, set_Cleanup, set_CommandCode, set_Commands, set_ComputerName, set_Cookie, set_Cookies, set_Country, set_CreationUTC, set_CreditCards, set_Data, set_Directories, set_Discord, set_DiscordClient, set_Dump, set_Email, set_EncryptedDump, set_EncryptedPassword, set_EncryptedValue, set_Encrypter, set_ExpiresUTC, set_FileData, set_FilePaths, set_Files, set_FirstLoop, set_GPU, set_HWID, set_HWIDs, set_HostKey, set_HttpClient, set_ID, set_InstalledApps, set_InstalledLanguage, set_IpAddress, set_IsListening, set_Language, set_LaterTasks, set_Legacy, set_ListeningThread, set_Logins, set_MFA, set_MasterKey, set_Month, set_Name, set_NitroType, set_OS, set_OsCryptKey, set_Path, set_Phone, set_Port, set_Process, set_PublicIP, set_RAM, set_RememberPassword, set_Retries, set_Secure, set_SizeMB, set_Steam, set_StreamWriter, set_SystemInfo, set_Tasks, set_Token, set_URL, set_Username, set_Value, set_Variant, set_Year
